Recall,,,,,
 , GT1, GT2, GT3, GT4, GT5 
"TH_ (80,200) ",0.705655,0.704515,0.596036,0.647268,0.629969
"TH_ (100,200)",0.665539,0.651766,0.522892,0.583074,0.568487
"TH_ (100,250)",0.506042,0.494859,0.29397,0.244336,0.289105
"TH_ (100,300) ",0.398743,0.378185,0.233389,0.178809,0.231627
"TH_ (130,300)",0.354761,0.336165,0.204634,0.160817,0.203031
MeanR_perGT,0.526148,0.513098,0.370184,0.362861,0.384444
Overall Recall ,0.431347,,,,
Precision,,,,,
 , GT1, GT2, GT3, GT4, GT5 
"TH_ (80,200) ",0.174474,0.188337,0.255139,0.348231,0.263265
"TH_ (100,200)",0.207818,0.220042,0.282674,0.396167,0.30003
"TH_ (100,250)",0.289867,0.306478,0.291528,0.30454,0.2799
"TH_ (100,300) ",0.346057,0.354866,0.350671,0.337668,0.339765
"TH_ (130,300)",0.446472,0.457421,0.445864,0.440389,0.431873
MeanP_perGT,0.292938,0.305429,0.325175,0.365399,0.322967
Overall Precision ,0.322381,,,,
Overall F_score ,0.368988,,,,
