Recall,,,,,,,
 , GT1, GT2, GT3, GT4, GT5, MeanR_perThr,F_perThr
"TH_ (80,200) ",0.705655,0.704515,0.596036,0.647046,0.629969,0.656644,0.357771
"TH_ (100,200)",0.665539,0.651766,0.522892,0.583074,0.568201,0.598294,0.382692
"TH_ (100,250)",0.505558,0.494859,0.293691,0.244336,0.289105,0.36551,0.326094
"TH_ (100,300) ",0.398743,0.378185,0.233389,0.178809,0.231627,0.284151,0.311961
"TH_ (130,300)",0.354761,0.336165,0.204634,0.160817,0.203031,0.251882,0.321527
,,,,,,,
Precision,,,,,,,
 , GT1, GT2, GT3, GT4, GT5, MeanP_perThr,
"TH_ (80,200) ",0.174474,0.188337,0.255139,0.348112,0.263265,0.245865,
"TH_ (100,200)",0.207818,0.220042,0.282674,0.396167,0.299879,0.281316,
"TH_ (100,250)",0.28959,0.306478,0.291251,0.30454,0.2799,0.294352,
"TH_ (100,300) ",0.346057,0.354866,0.350671,0.337668,0.339765,0.345805,
"TH_ (130,300)",0.446472,0.457421,0.445864,0.440389,0.431873,0.444404,
