Recall,,,,,
 , GT1, GT2, GT3, GT4, GT5 
TH_  0.166667 ,0.660706,0.663835,0.703797,0.742559,0.680011
TH_  0.333333 ,0.309328,0.318283,0.3512,0.392492,0.369745
TH_       0.5 ,0.166747,0.155565,0.152708,0.193025,0.150415
TH_  0.666667 ,0.0961817,0.0889584,0.0605807,0.0746335,0.0620532
TH_  0.833333 ,0.0231996,0.0214573,0.0134003,0.0106619,0.0137261
MeanR_perGT,0.251232,0.24962,0.256337,0.282674,0.25519
Overall Recall ,0.259011,,,,
Precision,,,,,
 , GT1, GT2, GT3, GT4, GT5 
TH_  0.166667 ,0.285744,0.31041,0.526965,0.698788,0.497074
TH_  0.333333 ,0.281442,0.313105,0.55321,0.777045,0.568602
TH_       0.5 ,0.379538,0.382838,0.60176,0.955996,0.578658
TH_  0.666667 ,0.590504,0.590504,0.643917,0.997033,0.643917
TH_  0.833333 ,1,1,1,1,1
MeanP_perGT,0.507446,0.519371,0.66517,0.885772,0.65765
Overall Precision ,0.647082,,,,
Overall F_score ,0.369943,,,,
