Recall,,,,,,,
 , GT1, GT2, GT3, GT4, GT5, MeanR_perThr,F_perThr
TH_  0.166667 ,0.660222,0.663388,0.703518,0.742115,0.680583,0.689965,0.554623
TH_  0.333333 ,0.307878,0.317836,0.350642,0.392492,0.370031,0.347776,0.409628
TH_       0.5 ,0.166747,0.155565,0.152708,0.193025,0.150701,0.163749,0.255392
TH_  0.666667 ,0.0961817,0.0889584,0.0605807,0.0748556,0.0620532,0.0765259,0.137847
TH_  0.833333 ,0.0231996,0.0214573,0.0134003,0.0106619,0.0137261,0.016489,0.0324431
,,,,,,,
Precision,,,,,,,
 , GT1, GT2, GT3, GT4, GT5, MeanP_perThr,
TH_  0.166667 ,0.285535,0.310201,0.526756,0.69837,0.497492,0.463671,
TH_  0.333333 ,0.280123,0.312665,0.552331,0.777045,0.569041,0.498241,
TH_       0.5 ,0.379538,0.382838,0.60176,0.955996,0.579758,0.579978,
TH_  0.666667 ,0.590504,0.590504,0.643917,1,0.643917,0.693769,
TH_  0.833333 ,1,1,1,1,1,1,
