Recall,,,,,
 , GT1, GT2, GT3, GT4, GT5 
TH_  0.166667 ,0.97245,0.981225,0.924344,0.984896,0.976265
TH_  0.333333 ,0.944418,0.936522,0.896706,0.948245,0.9328
TH_       0.5 ,0.834219,0.842199,0.78057,0.810973,0.811839
TH_  0.666667 ,0.692122,0.666965,0.598269,0.595735,0.618244
TH_  0.833333 ,0.563074,0.515422,0.420994,0.395824,0.474407
MeanR_perGT,0.801257,0.788467,0.724176,0.747135,0.762711
Overall Recall ,0.764749,,,,
Precision,,,,,
 , GT1, GT2, GT3, GT4, GT5 
TH_  0.166667 ,0.0536705,0.0585521,0.0883216,0.118278,0.0910691
TH_  0.333333 ,0.0716328,0.0768018,0.117751,0.1565,0.119584
TH_       0.5 ,0.0992467,0.108332,0.160773,0.209936,0.163245
TH_  0.666667 ,0.135107,0.140768,0.202189,0.253043,0.203982
TH_  0.833333 ,0.186191,0.184274,0.24101,0.284801,0.265143
MeanP_perGT,0.10917,0.113745,0.162009,0.204512,0.168605
Overall Precision ,0.151608,,,,
Overall F_score ,0.25305,,,,
