Recall,,,,,,,
 , GT1, GT2, GT3, GT4, GT5, MeanR_perThr,F_perThr
TH_  0.166667 ,0.97245,0.981225,0.924344,0.984673,0.976551,0.967849,0.151154
TH_  0.333333 ,0.944418,0.936522,0.896706,0.948023,0.932514,0.931636,0.194266
TH_       0.5 ,0.833736,0.841752,0.78029,0.811195,0.811839,0.815763,0.250951
TH_  0.666667 ,0.692122,0.666965,0.598269,0.595513,0.618244,0.634223,0.288835
TH_  0.833333 ,0.562107,0.515422,0.420994,0.395824,0.474407,0.473751,0.311668
,,,,,,,
Precision,,,,,,,
 , GT1, GT2, GT3, GT4, GT5, MeanP_perThr,
TH_  0.166667 ,0.0536705,0.0585521,0.0883216,0.118251,0.0910958,0.0819782,
TH_  0.333333 ,0.0716328,0.0768018,0.117751,0.156463,0.119547,0.108439,
TH_       0.5 ,0.0991892,0.108274,0.160715,0.209994,0.163245,0.148284,
TH_  0.666667 ,0.135107,0.140768,0.202189,0.252948,0.203982,0.186999,
TH_  0.833333 ,0.185872,0.184274,0.24101,0.284801,0.265143,0.23222,
