Recall,,,,,
 , GT1, GT2, GT3, GT4, GT5 
"TH_ (80,200) ",0.958753,0.969749,0.961509,0.959196,0.806238
"TH_ (100,200)",0.91659,0.936906,0.931486,0.94221,0.77505
"TH_ (100,250)",0.826764,0.858254,0.856813,0.90492,0.690113
"TH_ (100,300) ",0.776352,0.81936,0.790608,0.865092,0.631055
"TH_ (130,300)",0.713107,0.770959,0.747498,0.801835,0.584605
MeanR_perGT,0.838313,0.871046,0.857583,0.894651,0.697412
Overall Recall ,0.831801,,,,
Precision,,,,,
 , GT1, GT2, GT3, GT4, GT5 
"TH_ (80,200) ",0.0901802,0.0967325,0.107682,0.423571,0.10475
"TH_ (100,200)",0.105541,0.114406,0.127704,0.50934,0.123272
"TH_ (100,250)",0.122289,0.134626,0.150895,0.628389,0.140998
"TH_ (100,300) ",0.139792,0.156461,0.1695,0.731309,0.156957
"TH_ (130,300)",0.15318,0.175625,0.191179,0.808624,0.173459
MeanP_perGT,0.122196,0.13557,0.149392,0.620247,0.139887
Overall Precision ,0.233458,,,,
Overall F_score ,0.364589,,,,
