Recall,,,,,,,
 , GT1, GT2, GT3, GT4, GT5, MeanR_perThr,F_perThr
"TH_ (80,200) ",0.958753,0.969749,0.961509,0.959391,0.806238,0.931128,0.279748
"TH_ (100,200)",0.91659,0.93777,0.931486,0.94182,0.77505,0.900543,0.321975
"TH_ (100,250)",0.826764,0.858254,0.856813,0.90492,0.690113,0.827373,0.366567
"TH_ (100,300) ",0.776352,0.81936,0.789838,0.865092,0.631055,0.77634,0.401505
"TH_ (130,300)",0.714024,0.770959,0.747498,0.80164,0.583942,0.723613,0.424526
,,,,,,,
Precision,,,,,,,
 , GT1, GT2, GT3, GT4, GT5, MeanP_perThr,
"TH_ (80,200) ",0.0901802,0.0967325,0.107682,0.423657,0.10475,0.1646,
"TH_ (100,200)",0.105541,0.114512,0.127704,0.509129,0.123272,0.196032,
"TH_ (100,250)",0.122289,0.134626,0.150895,0.628389,0.140998,0.235439,
"TH_ (100,300) ",0.139792,0.156461,0.169335,0.731309,0.156957,0.270771,
"TH_ (130,300)",0.153377,0.175625,0.191179,0.808427,0.173262,0.300374,
