Recall,,,,,
 , GT1, GT2, GT3, GT4, GT5 
TH_  0.166667 ,0.479377,0.496975,0.458814,0.222765,0.416722
TH_  0.333333 ,0.222731,0.217805,0.195535,0.0532995,0.158593
TH_       0.5 ,0.110907,0.103717,0.0939184,0.0240141,0.080292
TH_  0.666667 ,0.00641613,0.00605013,0.00538876,0.00136665,0.00464499
TH_  0.833333 ,0,0,0,0,0
MeanR_perGT,0.163886,0.164909,0.150731,0.0602889,0.13205
Overall Recall ,0.134373,,,,
Precision,,,,,
 , GT1, GT2, GT3, GT4, GT5 
TH_  0.166667 ,0.443973,0.488115,0.505942,0.968591,0.533107
TH_  0.333333 ,0.880435,0.913043,0.92029,0.98913,0.865942
TH_       0.5 ,0.975806,0.967742,0.983871,0.991935,0.975806
TH_  0.666667 ,1,1,1,1,1
TH_  0.833333 ,1,1,1,1,1
MeanP_perGT,0.8600428,0.87378,0.8820206,0.9899312,0.874971
Overall Precision ,0.89614912,,,,
Overall F_score ,0.233703369,,,,
