Recall,,,,,,,
 , GT1, GT2, GT3, GT4, GT5, MeanR_perThr,F_perThr
TH_  0.166667 ,0.479377,0.496975,0.458814,0.222765,0.417386,0.415063,0.486663
TH_  0.333333 ,0.222731,0.21694,0.194765,0.0532995,0.158593,0.169266,0.285552
TH_       0.5 ,0.109991,0.103717,0.0939184,0.0240141,0.0809555,0.0825191,0.152209
TH_  0.666667 ,0.00641613,0.00605013,0.00538876,0.00136665,0.00464499,0.00477333,0.00950131
TH_  0.833333 ,0,0,0,0,0,0,0
,,,,,,,
Precision,,,,,,,
 , GT1, GT2, GT3, GT4, GT5, MeanP_perThr,
TH_  0.166667 ,0.443973,0.488115,0.505942,0.968591,0.533956,0.588115,
TH_  0.333333 ,0.880435,0.90942,0.916667,0.98913,0.865942,0.912319,
TH_       0.5 ,0.967742,0.967742,0.983871,0.991935,0.983871,0.979032,
TH_  0.666667 ,1,1,1,1,1,1,
TH_  0.833333 ,1,1,1,1,1,1,
