Recall
 , GT1, GT2, GT3, GT4, GT5 
TH_  0.166667 ,  0.574702 ,  0.549697 ,  0.518091 ,  0.393791 ,  0.508958 ,
TH_  0.333333 ,  0.573786 ,  0.549697 ,  0.518091 ,  0.393791 ,  0.508958 ,
TH_       0.5 ,  0.574702 ,  0.549697 ,  0.518091 ,  0.393791 ,  0.508958 ,
TH_  0.666667 ,  0.574702 ,  0.549697 ,  0.518091 ,  0.393596 ,  0.508958 ,
TH_  0.833333 ,  0.574702 ,  0.549697 ,  0.518091 ,  0.393791 ,  0.508958 ,
MeanR_perGT,  0.574519 ,  0.549697 ,  0.518091 ,  0.393752 ,  0.508958 ,
Overall Recall ,   0.509004 
Precision
 , GT1, GT2, GT3, GT4, GT5 
TH_  0.166667 , 0.0542012 , 0.0549793 , 0.0581777 ,   0.17436 , 0.0663036 ,
TH_  0.333333 , 0.0541148 , 0.0549793 , 0.0581777 ,   0.17436 , 0.0663036 ,
TH_       0.5 , 0.0542012 , 0.0549793 , 0.0581777 ,   0.17436 , 0.0663036 ,
TH_  0.666667 , 0.0542012 , 0.0549793 , 0.0581777 ,  0.174274 , 0.0663036 ,
TH_  0.833333 , 0.0542012 , 0.0549793 , 0.0581777 ,   0.17436 , 0.0663036 ,
MeanP_perGT,  0.054184 , 0.0549793 , 0.0581777 ,  0.174343 , 0.0663036 ,
Overall Precision ,  0.0815975 ,
Overall F_score ,   0.140648 ,
