Recall,,,,,,,
 , GT1, GT2, GT3, GT4, GT5, MeanR_perThr,F_perThr
TH_  0.166667 ,1,1,1,0.9918,1,0.99836,0.0719922
TH_  0.333333 ,1,1,1,0.990043,0.992037,0.996416,0.0858382
TH_       0.5 ,1,1,1,0.996291,0.960186,0.991295,0.128652
TH_  0.666667 ,0.993584,0.998271,0.996151,0.98731,0.887193,0.972502,0.193334
TH_  0.833333 ,0.940422,0.959378,0.95843,0.958805,0.791639,0.921735,0.269421
,,,,,,,
Precision,,,,,,,
 , GT1, GT2, GT3, GT4, GT5, MeanP_perThr,
TH_  0.166667 ,0.020101,0.021317,0.0239332,0.0935957,0.0277655,0.0373425,
TH_  0.333333 ,0.0241928,0.0256564,0.0288052,0.112449,0.0331515,0.044851,
TH_       0.5 ,0.0371645,0.0394127,0.0442499,0.173832,0.0492915,0.06879,
TH_  0.666667 ,0.0586041,0.0624426,0.0699573,0.273396,0.072282,0.107336,
TH_  0.833333 ,0.0853293,0.0923154,0.103543,0.408433,0.0992182,0.157768,
